carat,cut,clarity,depth,table,price,E,F,G,H,I,J,cube
0.3,4,2,62.6,57.0,405,0,0,0,0,1,0,48.5673
0.3,4,2,63.0,57.0,405,0,0,0,0,1,0,50.10681600000001
0.3,1,2,63.2,55.0,405,0,0,0,0,1,0,49.22775000000001
0.35,2,4,60.9,57.0,552,0,0,0,0,1,0,57.931307999999994
0.3,3,2,62.6,59.0,552,0,0,0,0,0,0,48.04518600000001
0.3,2,2,62.5,57.0,552,0,0,0,0,0,0,49.853232000000006
0.3,2,2,62.1,56.0,552,0,0,0,0,0,0,49.898920000000004
0.42,3,3,61.5,59.0,552,0,0,0,0,1,0,68.480192
0.28,2,7,61.4,56.0,553,0,0,1,0,0,0,45.619044
0.32,2,6,62.0,55.3,553,0,0,0,0,1,0,52.97237399999999
0.31,4,2,63.3,57.0,553,0,0,1,0,0,0,50.82987
0.31,3,2,61.8,58.0,553,0,0,1,0,0,0,50.362559999999995
0.24,3,6,60.7,58.0,553,1,0,0,0,0,0,39.431132
0.24,4,6,61.5,60.0,553,0,0,0,0,0,0,38.906000000000006
0.3,4,2,63.1,56.0,554,0,0,0,1,0,0,49.45941
0.3,3,2,62.9,59.0,554,0,0,0,1,0,0,48.634496000000006
0.3,3,2,62.5,57.0,554,0,0,0,1,0,0,48.680775000000004
0.3,1,2,63.7,57.0,554,0,0,0,1,0,0,49.593216000000005
0.26,4,7,59.2,60.0,554,0,1,0,0,0,0,44.027682
0.26,4,7,59.9,58.0,554,1,0,0,0,0,0,44.06179500000001
0.26,4,7,62.4,54.0,554,0,0,0,0,0,0,43.137024000000004
0.26,4,7,62.8,60.0,554,0,0,0,0,0,0,41.08846499999999
0.26,4,6,62.6,59.0,554,1,0,0,0,0,0,42.34377
0.26,4,6,63.4,59.0,554,1,0,0,0,0,0,41.208
0.26,4,6,62.1,60.0,554,0,0,0,0,0,0,42.007107999999995
0.26,2,7,62.9,58.0,554,1,0,0,0,0,0,41.455847999999996
0.38,2,3,61.6,56.0,554,0,0,0,0,1,0,62.32348500000001
0.26,1,6,57.9,60.0,554,1,0,0,0,0,0,43.94075
0.24,3,6,62.3,59.0,554,0,0,1,0,0,0,37.9358
0.24,3,6,61.2,58.0,554,0,0,0,1,0,0,38.746224
0.24,3,6,60.8,59.0,554,0,0,0,1,0,0,39.23519999999999
0.24,3,7,60.7,58.0,554,0,0,0,1,0,0,40.449288
0.32,3,2,62.9,58.0,554,0,0,0,0,1,0,51.420915
0.7,2,2,62.5,57.0,2757,1,0,0,0,0,0,116.39627999999999
0.86,0,3,55.1,69.0,2757,1,0,0,0,0,0,143.71632
0.7,2,5,61.6,56.0,2757,0,0,1,0,0,0,113.1165
0.71,4,5,62.4,57.0,2759,1,0,0,0,0,0,115.865184
0.78,4,3,63.8,56.0,2759,0,0,1,0,0,0,126.43721999999998
0.7,1,5,57.5,58.0,2759,1,0,0,0,0,0,116.66069999999999
0.7,1,4,59.4,62.0,2759,0,1,0,0,0,0,111.82464
0.96,0,3,66.3,62.0,2759,0,1,0,0,0,0,151.837455
0.73,4,2,61.6,59.0,2760,1,0,0,0,0,0,118.728136
0.8,3,2,61.5,58.0,2760,0,0,0,1,0,0,129.571686
0.75,4,2,63.2,56.0,2760,0,0,0,0,0,0,121.7275
0.75,3,2,59.9,54.0,2760,1,0,0,0,0,0,128.0208
0.74,2,2,61.6,55.0,2760,0,0,1,0,0,0,121.80869999999999
0.75,3,5,61.7,58.0,2760,0,0,1,0,0,0,121.59868499999999
0.8,2,4,62.9,56.0,2760,0,0,0,0,1,0,129.70821600000002
0.75,2,2,62.2,55.0,2760,0,0,1,0,0,0,123.58698
0.8,3,2,63.0,59.0,2760,0,0,1,0,0,0,126.48950999999998
0.74,2,7,62.3,55.0,2761,0,0,0,0,1,0,121.02055699999998
0.81,2,3,58.8,57.0,2761,0,1,0,0,0,0,135.05544
0.59,2,7,62.0,55.0,2761,1,0,0,0,0,0,97.86488999999999
0.8,2,3,61.4,57.0,2761,0,1,0,0,0,0,131.23919999999998
0.74,2,3,62.2,56.0,2761,1,0,0,0,0,0,122.61664
0.9,3,5,63.0,58.0,2761,0,0,0,0,1,0,145.89590400000003
0.74,4,2,62.2,59.0,2762,0,0,1,0,0,0,119.72147400000001
0.73,2,5,62.6,56.0,2762,0,1,0,0,0,0,119.23128
0.73,2,5,62.7,53.0,2762,0,1,0,0,0,0,120.727
0.8,3,3,61.7,58.0,2762,0,1,0,0,0,0,130.71801600000003
0.71,2,5,62.4,54.0,2762,0,0,1,0,0,0,117.95097599999998
0.7,2,5,60.7,58.0,2762,1,0,0,0,0,0,115.18675200000001
0.8,2,3,59.9,59.0,2762,0,1,0,0,0,0,132.060134
0.71,2,3,62.3,56.0,2762,0,0,0,0,0,0,116.06917200000001
0.74,2,2,62.3,54.0,2762,1,0,0,0,0,0,122.40668000000001
0.7,4,5,61.7,63.0,2762,0,1,0,0,0,0,109.79218800000001
0.7,0,5,64.5,57.0,2762,0,1,0,0,0,0,110.27151800000001
0.7,0,5,65.3,55.0,2762,0,1,0,0,0,0,114.980364
0.7,3,5,61.6,60.0,2762,0,1,0,0,0,0,109.27891
0.91,3,2,61.4,56.0,2763,0,0,0,1,0,0,134.52201
0.61,4,7,59.6,57.0,2763,0,0,0,0,0,0,103.00233599999999
0.91,0,3,64.4,57.0,2763,0,0,0,1,0,0,146.234907
0.91,0,3,65.7,60.0,2763,0,0,0,1,0,0,142.672815
0.77,2,5,62.0,56.0,2763,0,0,0,1,0,0,125.636056
0.71,4,2,63.6,58.0,2764,0,0,0,0,0,0,115.32672
0.71,2,2,61.9,59.0,2764,0,0,0,0,0,0,114.89020399999998
0.7,4,5,62.6,60.0,2765,1,0,0,0,0,0,112.08809000000001
0.77,4,4,61.3,60.0,2765,0,0,0,1,0,0,125.23812
0.63,3,6,60.9,60.0,2765,1,0,0,0,0,0,103.24331999999998
0.71,4,4,60.1,62.0,2765,0,1,0,0,0,0,114.59450799999999
0.71,3,4,61.8,59.0,2765,0,1,0,0,0,0,115.09106100000001
0.76,2,2,61.2,57.0,2765,0,0,0,1,0,0,125.45038799999999
0.64,2,6,61.9,56.0,2766,0,0,1,0,0,0,105.46152400000001
0.71,3,5,60.9,57.0,2766,0,0,1,0,0,0,116.65485
0.71,3,5,59.8,56.0,2766,0,0,1,0,0,0,119.77314999999997
0.7,4,5,61.8,55.0,2767,0,0,0,0,0,0,114.36339199999999
0.7,4,4,60.0,57.0,2767,0,1,0,0,0,0,119.161
0.71,2,3,61.6,55.0,2767,0,0,0,0,0,0,117.04089599999999
0.7,1,7,62.1,64.0,2767,0,0,0,1,0,0,111.13550000000001
0.71,4,4,63.3,59.0,2768,0,0,1,0,0,0,109.004544
0.73,4,2,60.2,56.0,2768,0,0,0,0,0,0,120.46179199999999
0.7,4,2,61.1,58.0,2768,0,0,0,0,0,0,112.86266400000001
0.7,2,2,60.9,57.0,2768,1,0,0,0,0,0,115.51680000000002
0.71,3,3,61.7,59.0,2768,0,0,0,0,0,0,113.638707
0.74,2,2,61.3,56.0,2769,0,0,0,0,1,0,121.755564
0.71,3,5,62.5,60.0,2770,0,0,0,0,0,0,111.57168000000001
0.73,3,5,61.4,59.0,2770,0,0,1,0,0,0,119.547648
0.76,4,2,62.9,57.0,2770,0,1,0,0,0,0,122.78563499999998
0.76,2,3,62.4,57.0,2770,0,0,0,0,0,0,121.98458800000002
0.71,2,2,60.7,56.0,2770,0,1,0,0,0,0,117.46565999999997
0.73,3,5,60.7,58.0,2770,0,0,1,0,0,0,121.28007000000001
0.73,3,4,61.5,58.0,2770,0,0,1,0,0,0,118.18837499999998
0.73,2,3,59.9,57.0,2770,0,0,0,0,0,0,123.435552
0.73,3,5,59.2,59.0,2770,0,0,1,0,0,0,121.278896
0.72,4,7,60.3,56.0,2771,0,0,0,1,0,0,118.89177299999997
0.73,4,2,61.7,60.0,2771,0,1,0,0,0,0,120.638124
0.71,2,5,61.9,57.0,2771,0,0,1,0,0,0,117.701076
0.79,2,3,61.9,55.0,2771,0,1,0,0,0,0,130.060032
0.73,4,6,60.4,59.0,2772,0,0,0,1,0,0,121.55899799999999
0.8,4,3,61.0,57.0,2772,0,1,0,0,0,0,133.00190099999998
0.58,2,6,61.5,55.0,2772,0,0,1,0,0,0,97.640928
0.58,2,6,61.7,56.0,2772,0,1,0,0,0,0,94.45293
0.71,1,5,59.2,61.0,2772,1,0,0,0,0,0,117.99983999999999
0.75,2,3,61.3,56.0,2773,0,0,0,0,0,0,124.04339999999999
0.7,3,5,58.0,62.0,2773,0,0,0,0,0,0,114.678668
1.17,4,0,60.2,61.0,2774,0,0,0,0,0,1,194.63451
0.6,2,4,61.7,55.0,2774,1,0,0,0,0,0,98.59184
0.7,2,2,62.7,55.0,2774,1,0,0,0,0,0,116.71945600000001
0.83,1,5,64.6,54.0,2774,0,0,0,0,1,0,130.36842
0.74,4,5,61.3,61.0,2775,0,1,0,0,0,0,120.92304
0.72,4,5,63.7,56.4,2776,0,0,1,0,0,0,115.439858
0.71,3,5,62.7,58.0,2776,1,0,0,0,0,0,116.71945600000001
0.71,2,5,62.2,57.0,2776,1,0,0,0,0,0,115.51629
0.54,2,7,61.6,56.0,2776,1,0,0,0,0,0,89.64269999999999
0.54,2,7,61.5,57.0,2776,1,0,0,0,0,0,89.026552
0.72,2,2,61.8,56.0,2776,0,0,1,0,0,0,116.7595
0.72,2,2,60.7,56.0,2776,0,0,1,0,0,0,118.953234
0.72,1,5,59.7,60.5,2776,0,0,1,0,0,0,117.53584000000001
0.71,2,2,60.5,56.0,2776,0,0,1,0,0,0,116.928
0.7,4,4,62.7,58.0,2777,0,0,0,0,0,0,115.781526
0.71,3,5,62.1,58.0,2777,0,1,0,0,0,0,114.08607
0.71,4,5,62.8,57.0,2777,0,1,0,0,0,0,114.246096
0.71,1,5,63.8,58.0,2777,0,1,0,0,0,0,113.589036
0.71,1,5,57.8,60.0,2777,0,1,0,0,0,0,117.7522
0.7,2,5,62.1,55.0,2777,1,0,0,0,0,0,114.08607
0.7,3,5,61.1,60.0,2777,1,0,0,0,0,0,111.749268
0.7,3,2,60.0,59.0,2777,1,0,0,0,0,0,115.19205
0.7,3,2,61.2,57.0,2777,1,0,0,0,0,0,113.58693600000001
0.7,3,2,62.7,59.0,2777,1,0,0,0,0,0,113.004234
0.7,3,2,61.0,57.0,2777,1,0,0,0,0,0,113.261472
0.7,3,2,61.0,58.0,2777,1,0,0,0,0,0,116.04621599999999
0.7,2,2,61.4,57.0,2777,1,0,0,0,0,0,115.56864
0.72,3,2,61.8,61.0,2777,0,1,0,0,0,0,118.306632
0.7,4,2,59.9,63.0,2777,1,0,0,0,0,0,112.61376000000001
0.7,3,2,61.3,58.0,2777,1,0,0,0,0,0,113.19047200000001
0.7,3,2,60.5,58.0,2777,1,0,0,0,0,0,115.25690399999999
0.7,1,5,64.1,59.0,2777,1,0,0,0,0,0,113.49935999999998
0.98,0,3,67.9,60.0,2777,0,0,0,1,0,0,147.36347999999998
0.78,3,2,62.4,58.0,2777,0,1,0,0,0,0,122.74481999999999
0.7,4,2,63.2,60.0,2777,1,0,0,0,0,0,108.30455999999998
0.52,2,6,61.3,55.0,2778,0,1,0,0,0,0,86.422842
0.73,4,5,60.8,56.0,2779,0,0,0,1,0,0,120.66023999999999
0.74,2,2,61.7,56.0,2779,1,0,0,0,0,0,121.60047999999999
0.7,4,5,63.6,57.0,2780,0,1,0,0,0,0,113.47347000000002
0.77,3,5,61.2,58.0,2780,0,0,1,0,0,0,126.65294000000002
0.71,2,5,62.1,54.0,2780,0,1,0,0,0,0,115.01318399999998
0.74,2,4,61.5,55.0,2780,0,0,1,0,0,0,122.22729399999999
0.7,2,4,61.4,59.0,2780,0,0,1,0,0,0,112.787028
1.01,3,0,61.8,60.0,2781,0,1,0,0,0,0,160.123176
0.77,2,2,62.2,56.0,2781,0,0,0,1,0,0,124.78065600000001
0.78,2,2,61.2,56.0,2781,0,0,0,1,0,0,129.077312
0.72,4,4,60.6,63.0,2782,0,0,0,1,0,0,117.86860799999998
0.53,4,7,57.5,64.0,2782,0,0,0,0,0,0,88.32146399999999
0.76,2,5,61.3,56.0,2782,0,0,1,0,0,0,127.21698000000002
0.7,1,4,57.2,62.0,2782,1,0,0,0,0,0,110.963447
0.7,3,4,62.9,60.0,2782,1,0,0,0,0,0,109.283148
0.75,4,3,63.1,58.0,2782,0,0,0,0,0,0,120.22342200000001
0.72,2,2,60.8,57.0,2782,0,0,0,0,0,0,115.91999999999999
0.72,3,2,62.7,59.0,2782,0,0,0,0,0,0,116.72124600000001
0.7,3,2,62.8,60.0,2782,0,0,0,0,0,0,114.44972800000001
0.84,0,2,55.1,67.0,2782,0,0,1,0,0,0,137.47446000000002
0.75,3,2,61.4,59.0,2782,0,1,0,0,0,0,123.83279999999999
0.52,2,1,62.2,55.0,2783,0,1,0,0,0,0,85.46689199999999
0.72,4,5,63.0,54.0,2784,0,1,0,0,0,0,117.37332000000002
0.79,4,4,63.7,56.0,2784,0,0,0,1,0,0,129.87
0.72,4,5,63.6,58.0,2787,0,1,0,0,0,0,116.26149400000001
0.51,2,6,62.0,57.0,2787,0,1,0,0,0,0,83.68647000000001
0.64,2,4,61.5,56.0,2787,0,0,0,0,0,0,104.84727000000001
0.7,4,6,60.5,60.0,2788,0,0,0,1,0,0,115.25690399999999
0.83,4,4,61.1,60.0,2788,0,0,0,0,1,0,137.74044
0.76,2,7,61.8,56.0,2788,0,0,0,0,1,0,124.30899000000001
0.71,1,5,63.3,56.0,2788,0,0,0,0,0,0,114.686016
0.77,1,4,59.4,64.0,2788,0,0,1,0,0,0,124.75867199999999
0.71,2,2,62.5,55.0,2788,0,1,0,0,0,0,114.52832500000001
1.01,0,0,64.5,58.0,2788,1,0,0,0,0,0,157.415427
1.01,3,3,62.7,59.0,2788,0,0,0,1,0,0,154.245426
0.77,1,2,64.2,52.0,2789,0,1,0,0,0,0,124.708164
0.76,1,2,63.7,54.0,2789,1,0,0,0,0,0,124.6752
0.76,3,2,60.4,58.0,2789,1,0,0,0,0,0,125.889984
0.76,3,2,61.8,58.0,2789,1,0,0,0,0,0,123.11977200000001
1.05,4,3,63.2,56.0,2789,0,0,0,0,0,1,171.209445
0.81,2,3,61.6,56.0,2789,0,0,1,0,0,0,132.396093
0.7,2,2,61.6,56.0,2789,1,0,0,0,0,0,116.1017
0.55,2,1,60.9,57.0,2789,0,0,1,0,0,0,90.10848000000001
0.81,1,3,61.0,61.0,2789,0,0,1,0,0,0,129.51338400000003
0.63,3,7,62.1,57.0,2789,1,0,0,0,0,0,100.20618400000001
0.63,3,6,60.9,60.0,2789,1,0,0,0,0,0,103.24331999999998
0.77,3,4,61.3,60.0,2789,0,0,0,1,0,0,125.23812
1.05,0,3,65.8,59.0,2789,0,0,0,0,0,1,167.99712599999998
0.64,2,1,61.3,56.0,2790,0,0,1,0,0,0,105.414012
0.76,3,6,58.8,59.0,2790,0,0,0,0,1,0,125.09639999999999
0.83,2,3,62.3,55.0,2790,0,1,0,0,0,0,136.94296
0.71,3,4,60.1,62.0,2790,0,1,0,0,0,0,114.59450799999999
0.71,3,4,61.8,59.0,2790,0,1,0,0,0,0,115.09106100000001
0.87,4,2,63.6,55.8,2791,0,0,0,0,1,0,143.29449
0.73,2,2,62.2,56.0,2791,1,0,0,0,0,0,118.774376
0.71,3,2,59.2,59.0,2792,1,0,0,0,0,0,118.206748
0.71,3,2,61.8,59.0,2792,1,0,0,0,0,0,116.0235
0.71,2,2,61.3,55.0,2792,1,0,0,0,0,0,116.17548799999999
0.7,3,4,62.1,60.0,2792,0,1,0,0,0,0,113.88309500000001
0.7,3,4,60.7,60.0,2792,0,1,0,0,0,0,116.32249999999999
0.76,3,7,59.6,57.0,2792,0,0,0,1,0,0,121.560426
0.7,2,4,62.2,56.0,2792,0,1,0,0,0,0,115.53971999999999
0.79,4,2,60.6,57.0,2793,0,0,1,0,0,0,132.27161999999998
0.7,4,5,62.9,57.0,2793,1,0,0,0,0,0,114.97327800000001
0.7,1,5,64.1,55.0,2793,1,0,0,0,0,0,114.42255999999999
0.76,2,5,61.3,56.0,2793,0,0,0,0,1,0,125.23703700000002
0.73,2,5,62.7,55.0,2793,0,0,0,1,0,0,118.60991999999999
0.79,4,2,63.2,56.0,2794,1,0,0,0,0,0,128.83327200000002
0.71,4,5,60.7,56.0,2795,1,0,0,0,0,0,119.364126
0.81,3,7,61.9,60.0,2795,0,0,0,0,1,0,126.06266400000001
0.81,2,3,62.6,55.0,2795,0,1,0,0,0,0,131.25350400000002
0.72,1,4,60.7,60.0,2795,0,1,0,0,0,0,114.258144
0.72,3,3,62.0,60.0,2795,0,0,0,0,0,0,115.41709800000001
0.72,3,1,63.0,57.0,2795,0,0,0,0,1,0,117.3744
0.81,3,5,58.0,59.0,2795,0,0,0,1,0,0,135.02489699999998
0.72,3,5,62.9,57.0,2795,0,0,1,0,0,0,115.90071000000002
1.0,3,3,58.2,60.0,2795,0,0,0,0,1,0,165.82176500000003
0.73,1,2,63.2,58.0,2796,1,0,0,0,0,0,118.85184000000001
0.81,4,3,61.3,59.0,2797,0,0,0,1,0,0,130.659804
0.81,4,2,60.3,60.0,2797,1,0,0,0,0,0,135.88909
0.71,3,2,62.7,60.0,2797,0,0,0,0,0,0,115.581249
0.71,3,2,61.3,58.0,2797,0,0,0,0,0,0,115.97520000000002
0.71,3,2,61.6,60.0,2797,0,0,0,0,0,0,114.96531200000001
0.57,2,7,61.9,55.0,2797,0,1,0,0,0,0,94.56339
0.51,2,6,61.7,56.0,2797,0,0,0,0,0,0,83.748864
0.72,2,5,61.9,58.0,2797,0,0,1,0,0,0,116.7595
0.74,2,4,61.8,58.0,2797,0,0,0,1,0,0,120.01484599999999
0.74,2,4,61.6,56.0,2797,0,0,0,1,0,0,121.054836
0.7,0,6,58.8,66.0,2797,0,0,1,0,0,0,117.91975999999998
0.8,3,3,61.0,57.0,2797,0,1,0,0,0,0,133.00190099999998
1.01,0,3,67.4,60.0,2797,1,0,0,0,0,0,154.666435
0.8,4,5,63.4,60.0,2797,0,0,0,1,0,0,128.170368
0.77,2,4,61.5,59.0,2798,0,0,0,0,1,0,125.58395400000002
0.83,4,3,58.0,62.0,2799,1,0,0,0,0,0,139.661875
0.82,2,3,62.4,54.0,2799,0,1,0,0,0,0,134.413356
0.78,2,2,61.9,57.0,2799,0,0,0,0,0,0,126.06266400000001
0.6,4,1,61.6,56.0,2800,0,0,1,0,0,0,99.32012999999999
0.9,1,3,62.2,59.0,2800,0,0,0,0,1,0,140.562383
0.7,3,4,62.2,58.0,2800,1,0,0,0,0,0,110.93599999999999
0.9,4,3,61.3,56.0,2800,0,0,0,0,1,0,146.06858
0.83,2,2,62.3,57.0,2800,0,0,1,0,0,0,136.936192
0.83,2,2,61.8,57.0,2800,0,0,1,0,0,0,136.891854
0.83,4,2,62.5,59.0,2800,0,0,0,1,0,0,133.96305999999998
0.74,3,4,62.9,60.0,2800,0,0,1,0,0,0,117.045488
0.79,2,4,61.8,59.0,2800,0,0,0,0,1,0,129.27208000000002
0.61,2,1,62.3,56.0,2800,0,0,1,0,0,0,100.321965
0.76,0,4,59.0,70.0,2800,0,0,1,0,0,0,118.20052
0.96,2,0,60.7,55.0,2801,0,1,0,0,0,0,158.426996
0.73,2,5,62.5,55.0,2801,0,1,0,0,0,0,120.60288
0.73,3,5,62.7,58.0,2801,0,1,0,0,0,0,117.86688
0.75,2,2,60.4,57.0,2801,0,0,0,1,0,0,126.88065199999998
0.71,3,5,62.1,58.0,2801,0,1,0,0,0,0,114.08607
0.71,1,5,57.8,60.0,2801,0,1,0,0,0,0,117.7522
0.71,1,5,63.8,58.0,2801,0,1,0,0,0,0,113.589036
0.71,3,5,62.8,57.0,2801,0,1,0,0,0,0,114.246096
1.04,3,0,62.2,58.0,2801,0,0,1,0,0,0,165.6344
1.0,3,3,62.3,58.0,2801,0,0,0,0,0,1,162.75414
0.87,4,3,59.9,58.0,2802,0,0,1,0,0,0,143.45696400000003
0.53,2,1,61.9,54.0,2802,0,1,0,0,0,0,88.7922
0.72,3,5,63.0,55.0,2802,1,0,0,0,0,0,116.610021
0.72,3,4,62.4,58.0,2802,0,1,0,0,0,0,119.6316
0.7,4,5,62.9,58.0,2803,0,1,0,0,0,0,112.92372499999999
0.74,4,2,63.5,56.0,2803,1,0,0,0,0,0,121.638636
0.71,2,5,61.3,56.0,2803,0,0,1,0,0,0,115.242075
0.73,2,2,60.6,54.0,2803,1,0,0,0,0,0,122.11147999999999
0.7,1,4,65.1,58.0,2803,0,0,1,0,0,0,112.82185199999999
0.71,3,5,62.6,58.0,2803,0,1,0,0,0,0,115.05564000000001
0.71,3,5,58.0,62.0,2803,0,1,0,0,0,0,114.88112999999998
0.71,3,4,62.4,61.0,2803,0,0,1,0,0,0,114.00570000000002
0.77,3,5,61.3,57.0,2803,0,0,1,0,0,0,126.22360800000001
0.71,3,5,59.9,60.0,2803,0,0,1,0,0,0,116.327239
0.78,3,5,60.8,58.0,2803,0,0,1,0,0,0,130.59774000000002
0.71,4,4,63.5,55.0,2803,0,0,1,0,0,0,114.601416
0.91,2,3,62.2,57.0,2803,0,0,0,0,0,0,147.03727500000002
0.71,4,5,63.8,58.0,2804,1,0,0,0,0,0,114.51312
0.71,4,5,64.0,57.0,2804,1,0,0,0,0,0,116.700144
0.8,4,3,62.5,56.0,2804,1,0,0,0,0,0,129.66576
0.7,4,2,62.3,58.0,2804,0,0,0,0,0,0,116.06917200000001
0.72,2,4,61.7,57.0,2804,0,1,0,0,0,0,117.57528999999998
0.72,4,4,62.2,58.0,2804,0,1,0,0,0,0,116.679
0.82,2,5,61.5,56.0,2804,0,0,0,1,0,0,135.93177599999999
0.7,2,2,61.0,59.0,2804,0,0,0,0,0,0,112.34472
0.72,2,2,62.2,56.0,2804,0,0,0,0,0,0,118.568884
0.72,2,2,61.5,54.0,2804,0,0,0,0,0,0,119.13895999999998
0.9,0,2,67.3,59.0,2804,0,0,0,0,1,0,137.139552
0.74,3,5,61.7,58.0,2805,0,1,0,0,0,0,121.38867
0.74,3,5,61.9,56.0,2805,0,1,0,0,0,0,119.80827999999998
0.73,2,3,61.8,58.0,2805,1,0,0,0,0,0,120.01484599999999
0.57,0,6,58.7,66.0,2805,1,0,0,0,0,0,91.62799199999999
0.73,3,5,62.5,57.0,2805,0,1,0,0,0,0,117.33449999999999
0.72,2,5,62.8,56.0,2805,0,0,1,0,0,0,117.45762
0.74,0,5,61.1,68.0,2805,0,1,0,0,0,0,118.13145
0.82,1,5,64.0,57.0,2805,0,0,1,0,0,0,131.80406399999998
0.81,4,2,62.5,60.0,2806,0,0,1,0,0,0,129.10055400000002
0.75,4,6,60.6,58.0,2806,0,0,0,1,0,0,122.8734
0.7,2,2,61.6,55.0,2806,0,1,0,0,0,0,115.89978399999998
0.71,4,4,62.2,58.0,2807,0,1,0,0,0,0,114.608208
0.71,4,4,60.0,57.0,2807,0,1,0,0,0,0,121.28512
0.93,3,3,61.9,57.0,2807,0,0,0,0,0,1,147.609216
0.8,4,5,62.8,57.0,2808,0,0,0,1,0,0,128.35929000000002
0.7,4,4,62.0,57.0,2808,0,1,0,0,0,0,113.359488
1.0,0,0,66.4,59.0,2808,0,0,1,0,0,0,152.68360800000002
0.75,4,5,63.4,56.0,2808,0,0,1,0,0,0,121.09678
0.58,2,7,60.9,56.0,2808,1,0,0,0,0,0,96.94179
0.73,4,2,63.1,57.0,2808,0,0,0,0,0,0,118.11198
0.81,4,2,63.1,59.0,2809,0,1,0,0,0,0,124.308405
